O*NET-SOC Code,Title,Workplace Example,Element Name,Hot Technology,In Demand
11-1011.00,Chief Executives,Adobe Acrobat,Document management software,Y,N
11-1011.00,Chief Executives,AdSense Tracker,Data base user interface and query software,N,N
11-1011.00,Chief Executives,Atlassian JIRA,Content workflow software,Y,N
11-1011.00,Chief Executives,Blackbaud The Raiser's Edge,Customer relationship management CRM software,N,N
11-1011.00,Chief Executives,ComputerEase construction accounting software,Accounting software,N,N
11-1011.00,Chief Executives,Database reporting software,Data base reporting software,N,N
11-1011.00,Chief Executives,Databox,Data base user interface and query software,N,N
11-1011.00,Chief Executives,Email software,Electronic mail software,N,N
11-1011.00,Chief Executives,Exact Software Macola ES Labor Performance,Time accounting software,N,N
11-1011.00,Chief Executives,Extensible markup language XML,Enterprise application integration software,Y,N
11-1011.00,Chief Executives,Fund accounting software,Accounting software,N,N
11-1011.00,Chief Executives,Graphic presentation software,Graphics or photo imaging software,N,N
11-1011.00,Chief Executives,Halogen e360,Human resources software,N,N
11-1011.00,Chief Executives,Halogen ePraisal,Human resources software,N,N
11-1011.00,Chief Executives,HCSS HeavyBid,Project management software,N,N
11-1011.00,Chief Executives,HCSS HeavyJob,Project management software,N,N
11-1011.00,Chief Executives,Human resource information system (HRIS),Human resources software,N,N
11-1011.00,Chief Executives,Infor SSA Human Capital Management,Human resources software,N,N
11-1011.00,Chief Executives,Intuit QuickBooks,Accounting software,Y,N
11-1011.00,Chief Executives,Listserv software,Electronic mail software,N,N
11-1011.00,Chief Executives,Lyris HQ Web-Analytics Solution,Analytical or scientific software,N,N
11-1011.00,Chief Executives,Mentimeter,Presentation software,N,N
11-1011.00,Chief Executives,Microsoft Access,Data base user interface and query software,Y,N
11-1011.00,Chief Executives,Microsoft Dynamics,Enterprise resource planning ERP software,N,N
11-1011.00,Chief Executives,Microsoft Dynamics AX,Enterprise resource planning ERP software,N,N
11-1011.00,Chief Executives,Microsoft Dynamics GP,Enterprise resource planning ERP software,N,N
11-1011.00,Chief Executives,Microsoft Excel,Spreadsheet software,Y,Y
11-1011.00,Chief Executives,Microsoft FRx,Financial analysis software,N,N
11-1011.00,Chief Executives,Microsoft Office software,Office suite software,Y,Y
11-1011.00,Chief Executives,Microsoft Outlook,Electronic mail software,Y,Y
11-1011.00,Chief Executives,Microsoft PowerPoint,Presentation software,Y,Y
11-1011.00,Chief Executives,Microsoft Project,Project management software,Y,N
11-1011.00,Chief Executives,Microsoft Publisher,Desktop publishing software,N,N
11-1011.00,Chief Executives,Microsoft SharePoint,Document management software,Y,N
11-1011.00,Chief Executives,Microsoft Word,Word processing software,Y,N
11-1011.00,Chief Executives,Nedstat Sitestat,Analytical or scientific software,N,N
11-1011.00,Chief Executives,Norchard Solutions Succession Wizard,Time accounting software,N,N
11-1011.00,Chief Executives,Online advertising reporting software,Analytical or scientific software,N,N
11-1011.00,Chief Executives,Oracle E-Business Suite,Enterprise resource planning ERP software,N,N
11-1011.00,Chief Executives,Oracle PeopleSoft,Enterprise resource planning ERP software,Y,N
11-1011.00,Chief Executives,Oracle Siebel Server Sync,Customer relationship management CRM software,N,N
11-1011.00,Chief Executives,PHP,Web platform development software,Y,N
11-1011.00,Chief Executives,Relational database management software,Data base management system software,N,N
11-1011.00,Chief Executives,Sage 50 Accounting,Accounting software,N,N
11-1011.00,Chief Executives,SAP software,Enterprise resource planning ERP software,Y,N
11-1011.00,Chief Executives,SmugMug Flickr,Graphics or photo imaging software,N,N
11-1011.00,Chief Executives,Structured query language SQL,Data base user interface and query software,Y,N
11-1011.00,Chief Executives,Web browser software,Internet browser software,N,N
11-1011.03,Chief Sustainability Officers,Adobe Acrobat,Document management software,Y,N
11-1011.03,Chief Sustainability Officers,Adobe Photoshop,Graphics or photo imaging software,Y,N
11-1011.03,Chief Sustainability Officers,Email software,Electronic mail software,N,N
11-1011.03,Chief Sustainability Officers,Facebook,Web page creation and editing software,Y,N
11-1011.03,Chief Sustainability Officers,Management information systems MIS,Enterprise resource planning ERP software,N,N
11-1011.03,Chief Sustainability Officers,Microsoft Access,Data base user interface and query software,Y,N
11-1011.03,Chief Sustainability Officers,Microsoft Dynamics GP,Enterprise resource planning ERP software,N,N
11-1011.03,Chief Sustainability Officers,Microsoft Excel,Spreadsheet software,Y,Y
11-1011.03,Chief Sustainability Officers,Microsoft Office software,Office suite software,Y,Y
11-1011.03,Chief Sustainability Officers,Microsoft Outlook,Electronic mail software,Y,Y
11-1011.03,Chief Sustainability Officers,Microsoft PowerPoint,Presentation software,Y,Y
11-1011.03,Chief Sustainability Officers,Microsoft Project,Project management software,Y,N
11-1011.03,Chief Sustainability Officers,Microsoft SharePoint,Document management software,Y,N
11-1011.03,Chief Sustainability Officers,Microsoft Word,Word processing software,Y,N
11-1011.03,Chief Sustainability Officers,Salesforce software,Customer relationship management CRM software,Y,N
11-1011.03,Chief Sustainability Officers,SAP software,Enterprise resource planning ERP software,Y,N
11-1011.03,Chief Sustainability Officers,Scheduling software,Calendar and scheduling software,N,N
11-1011.03,Chief Sustainability Officers,Structure query language SQL,Data base user interface and query software,N,N
11-1011.03,Chief Sustainability Officers,Tableau,Business intelligence and data analysis software,Y,N
11-1011.03,Chief Sustainability Officers,Teleconferencing software,Video conferencing software,N,N
11-1011.03,Chief Sustainability Officers,Web browser software,Internet browser software,N,N
11-1021.00,General and Operations Managers,Act!,Customer relationship management CRM software,N,N
11-1021.00,General and Operations Managers,ActionWare,Customer relationship management CRM software,N,N
11-1021.00,General and Operations Managers,Adobe Acrobat,Document management software,Y,N
11-1021.00,General and Operations Managers,Adobe Creative Cloud software,Graphics or photo imaging software,Y,N
11-1021.00,General and Operations Managers,Adobe Photoshop,Graphics or photo imaging software,Y,N
11-1021.00,General and Operations Managers,ADP Workforce Now,Human resources software,N,N
11-1021.00,General and Operations Managers,Airtable,Data base user interface and query software,N,N
11-1021.00,General and Operations Managers,Amazon Web Services AWS software,Data base user interface and query software,Y,N
11-1021.00,General and Operations Managers,AMG Teleran SalesInSync,Customer relationship management CRM software,N,N
11-1021.00,General and Operations Managers,Apache Hadoop,Data base management system software,Y,N
11-1021.00,General and Operations Managers,Apple Final Cut Pro,Video creation and editing software,N,N
11-1021.00,General and Operations Managers,Apple Keynote,Presentation software,N,N
11-1021.00,General and Operations Managers,Apple macOS,Operating system software,Y,N
11-1021.00,General and Operations Managers,Atlassian Confluence,Project management software,Y,N
11-1021.00,General and Operations Managers,Atlassian JIRA,Content workflow software,Y,N
11-1021.00,General and Operations Managers,Autodesk AutoCAD,Computer aided design CAD software,Y,N
11-1021.00,General and Operations Managers,Avidian Technologies Prophet,Customer relationship management CRM software,N,N
11-1021.00,General and Operations Managers,Blackbaud The Raiser's Edge,Customer relationship management CRM software,N,N
11-1021.00,General and Operations Managers,Blackboard software,Data base user interface and query software,N,N
11-1021.00,General and Operations Managers,Citrix cloud computing software,Access software,N,N
11-1021.00,General and Operations Managers,CNC Mastercam,Computer aided manufacturing CAM software,N,N
11-1021.00,General and Operations Managers,Customer information control system CICS,Transaction server software,N,N
11-1021.00,General and Operations Managers,Database software,Data base user interface and query software,N,N
11-1021.00,General and Operations Managers,Datawatch Monarch,Data mining software,N,N
11-1021.00,General and Operations Managers,Deacom ERP,Enterprise resource planning ERP software,N,N
11-1021.00,General and Operations Managers,Delphi Technology,Financial analysis software,N,N
11-1021.00,General and Operations Managers,Dropbox,Cloud-based data access and sharing software,N,N
11-1021.00,General and Operations Managers,Dynamic Energy Systems MedAct,Medical software,N,N
11-1021.00,General and Operations Managers,Eko,Desktop communications software,N,N
11-1021.00,General and Operations Managers,Evernote,Word processing software,N,N
11-1021.00,General and Operations Managers,Extensible markup language XML,Enterprise application integration software,Y,N
11-1021.00,General and Operations Managers,Facebook,Web page creation and editing software,Y,N
11-1021.00,General and Operations Managers,FileMaker Pro,Data base user interface and query software,N,N
11-1021.00,General and Operations Managers,Flipgrid,Video creation and editing software,N,N
11-1021.00,General and Operations Managers,Fund accounting software,Accounting software,N,N
11-1021.00,General and Operations Managers,Geographic information system GIS software,Geographic information system,N,N
11-1021.00,General and Operations Managers,Google Ads,Sales and marketing software,N,N
11-1021.00,General and Operations Managers,Google Analytics,Data mining software,Y,N
11-1021.00,General and Operations Managers,Google Docs,Word processing software,Y,N
11-1021.00,General and Operations Managers,Google Drive,Cloud-based data access and sharing software,N,N
11-1021.00,General and Operations Managers,Google Slides,Presentation software,N,N
11-1021.00,General and Operations Managers,GroupMe,Instant messaging software,N,N
11-1021.00,General and Operations Managers,HEAT Software GoldMine,Customer relationship management CRM software,N,N
11-1021.00,General and Operations Managers,HubSpot software,Sales and marketing software,Y,N
11-1021.00,General and Operations Managers,Human resource management software HRMS,Human resources software,N,N
11-1021.00,General and Operations Managers,IBM Cognos Impromptu,Business intelligence and data analysis software,N,N
11-1021.00,General and Operations Managers,IBM Domino,Communications server software,N,N
11-1021.00,General and Operations Managers,IBM InfoSphere DataStage,Enterprise application integration software,N,N
11-1021.00,General and Operations Managers,IBM Notes,Electronic mail software,N,N
11-1021.00,General and Operations Managers,IBM Power Systems software,Enterprise system management software,N,N
11-1021.00,General and Operations Managers,IBM SPSS Statistics,Analytical or scientific software,Y,N
11-1021.00,General and Operations Managers,InnQuest Software roomMaster,Facilities management software,N,N
11-1021.00,General and Operations Managers,Intuit QuickBooks,Accounting software,Y,N
11-1021.00,General and Operations Managers,Job control language JCL,Operating system software,N,N
11-1021.00,General and Operations Managers,Kronos Workforce Payroll,Time accounting software,N,N
11-1021.00,General and Operations Managers,Kronos Workforce Timekeeper,Time accounting software,Y,N
11-1021.00,General and Operations Managers,LexisNexis,Information retrieval or search software,N,N
11-1021.00,General and Operations Managers,LinkedIn,Web page creation and editing software,N,N
11-1021.00,General and Operations Managers,LSA Visual Easy Lean,Materials requirements planning logistics and supply chain software,N,N
11-1021.00,General and Operations Managers,Marketo Marketing Automation,Sales and marketing software,Y,N
11-1021.00,General and Operations Managers,Maximizer Software Maximizer Enterprise,Customer relationship management CRM software,N,N
11-1021.00,General and Operations Managers,McAfee,Transaction security and virus protection software,N,N
11-1021.00,General and Operations Managers,Medical condition coding software,Medical software,N,N
11-1021.00,General and Operations Managers,Microsoft Access,Data base user interface and query software,Y,N
11-1021.00,General and Operations Managers,Microsoft Dynamics,Enterprise resource planning ERP software,N,N
11-1021.00,General and Operations Managers,Microsoft Dynamics GP,Enterprise resource planning ERP software,N,N
11-1021.00,General and Operations Managers,Microsoft Excel,Spreadsheet software,Y,Y
11-1021.00,General and Operations Managers,Microsoft Exchange,Electronic mail software,N,N
11-1021.00,General and Operations Managers,Microsoft FrontPage,Web page creation and editing software,N,N
11-1021.00,General and Operations Managers,Microsoft Internet Explorer,Internet browser software,N,N
11-1021.00,General and Operations Managers,Microsoft Office software,Office suite software,Y,Y
11-1021.00,General and Operations Managers,Microsoft OneNote,Word processing software,N,N
11-1021.00,General and Operations Managers,Microsoft Outlook,Electronic mail software,Y,N
11-1021.00,General and Operations Managers,Microsoft PowerPoint,Presentation software,Y,Y
11-1021.00,General and Operations Managers,Microsoft Project,Project management software,Y,N
11-1021.00,General and Operations Managers,Microsoft Publisher,Desktop publishing software,N,N
11-1021.00,General and Operations Managers,Microsoft SharePoint,Document management software,Y,N
11-1021.00,General and Operations Managers,Microsoft SQL Server,Data base user interface and query software,Y,N
11-1021.00,General and Operations Managers,Microsoft Visio,Process mapping and design software,Y,N
11-1021.00,General and Operations Managers,Microsoft Visual Basic,Development environment software,Y,N
11-1021.00,General and Operations Managers,Microsoft Visual Basic for Applications VBA,Development environment software,Y,N
11-1021.00,General and Operations Managers,Microsoft Windows,Operating system software,Y,N
11-1021.00,General and Operations Managers,Microsoft Word,Word processing software,Y,N
11-1021.00,General and Operations Managers,MicroStrategy,Business intelligence and data analysis software,N,N
11-1021.00,General and Operations Managers,Minitab,Analytical or scientific software,N,N
11-1021.00,General and Operations Managers,Mozilla Firefox,Internet browser software,Y,N
11-1021.00,General and Operations Managers,Mozilla Thunderbird,Electronic mail software,N,N
11-1021.00,General and Operations Managers,Nagios,Network monitoring software,N,N
11-1021.00,General and Operations Managers,NetSuite ERP,Enterprise resource planning ERP software,N,N
11-1021.00,General and Operations Managers,NetSuite NetCRM,Customer relationship management CRM software,N,N
11-1021.00,General and Operations Managers,NortonLifeLock cybersecurity software,Transaction security and virus protection software,N,N
11-1021.00,General and Operations Managers,Oracle Business Intelligence Enterprise Edition,Business intelligence and data analysis software,N,N
11-1021.00,General and Operations Managers,Oracle Database,Data base user interface and query software,Y,N
11-1021.00,General and Operations Managers,Oracle E-Business Suite Financials,Financial analysis software,N,N
11-1021.00,General and Operations Managers,Oracle Eloqua,Customer relationship management CRM software,N,N
11-1021.00,General and Operations Managers,Oracle Fusion Applications,Enterprise resource planning ERP software,N,N
11-1021.00,General and Operations Managers,Oracle Hyperion,Enterprise resource planning ERP software,N,N
11-1021.00,General and Operations Managers,Oracle JD Edwards EnterpriseOne,Enterprise resource planning ERP software,N,N
11-1021.00,General and Operations Managers,Oracle PeopleSoft,Enterprise resource planning ERP software,Y,N
11-1021.00,General and Operations Managers,Oracle PeopleSoft Financials,Enterprise resource planning ERP software,N,N
11-1021.00,General and Operations Managers,Oracle Primavera Enterprise Project Portfolio Management,Project management software,Y,N
11-1021.00,General and Operations Managers,Oracle Solaris,Operating system software,N,N
11-1021.00,General and Operations Managers,Oracle Taleo,Human resources software,N,N
11-1021.00,General and Operations Managers,Payroll software,Time accounting software,N,N
11-1021.00,General and Operations Managers,Personnel scheduling software,Human resources software,N,N
11-1021.00,General and Operations Managers,PostgreSQL,Object oriented data base management software,Y,N
11-1021.00,General and Operations Managers,Puppet,Configuration management software,Y,N
11-1021.00,General and Operations Managers,Qlik Tech QlikView,Business intelligence and data analysis software,N,N
11-1021.00,General and Operations Managers,Quest Erwin Data Modeler,Metadata management software,N,N
11-1021.00,General and Operations Managers,R,Object or component oriented development software,Y,N
11-1021.00,General and Operations Managers,Realization Streamliner,Project management software,N,N
11-1021.00,General and Operations Managers,Sage 50 Accounting,Accounting software,N,N
11-1021.00,General and Operations Managers,Sage MAS 500,Financial analysis software,N,N
11-1021.00,General and Operations Managers,Salesforce software,Customer relationship management CRM software,Y,N
11-1021.00,General and Operations Managers,Salesforce.com Salesforce CRM,Customer relationship management CRM software,N,N
11-1021.00,General and Operations Managers,SAP Business Objects,Enterprise resource planning ERP software,N,N
11-1021.00,General and Operations Managers,SAP Crystal Reports,Data base reporting software,N,N
11-1021.00,General and Operations Managers,SAP software,Enterprise resource planning ERP software,Y,N
11-1021.00,General and Operations Managers,SAS,Analytical or scientific software,Y,N
11-1021.00,General and Operations Managers,Savant MobileRanger,Data base user interface and query software,N,N
11-1021.00,General and Operations Managers,Screencastify,Video creation and editing software,N,N
11-1021.00,General and Operations Managers,SeaMonkey,Internet browser software,N,N
11-1021.00,General and Operations Managers,Shell script,Operating system software,Y,N
11-1021.00,General and Operations Managers,Siemens NX,Computer aided manufacturing CAM software,N,N
11-1021.00,General and Operations Managers,Slack,Cloud-based data access and sharing software,Y,N
11-1021.00,General and Operations Managers,Social media sites,Web page creation and editing software,N,N
11-1021.00,General and Operations Managers,Software on Sailboats Desktop Sales Manager,Customer relationship management CRM software,N,N
11-1021.00,General and Operations Managers,Splunk Enterprise,Cloud-based management software,Y,N
11-1021.00,General and Operations Managers,StataCorp Stata,Analytical or scientific software,N,N
11-1021.00,General and Operations Managers,Structured query language SQL,Data base user interface and query software,Y,N
11-1021.00,General and Operations Managers,Sugar CRM,Customer relationship management CRM software,N,N
11-1021.00,General and Operations Managers,Supervisory control and data acquisition SCADA software,Industrial control software,N,N
11-1021.00,General and Operations Managers,Tableau,Business intelligence and data analysis software,Y,N
11-1021.00,General and Operations Managers,Tax software,Accounting software,N,N
11-1021.00,General and Operations Managers,Teradata Database,Data base management system software,Y,N
11-1021.00,General and Operations Managers,The MathWorks MATLAB,Analytical or scientific software,Y,N
11-1021.00,General and Operations Managers,Vanguard Software Vanguard Sales Manager,Customer relationship management CRM software,N,N
11-1021.00,General and Operations Managers,Veritas NetBackup,Backup or archival software,N,N
11-1021.00,General and Operations Managers,vtiger CRM,Customer relationship management CRM software,N,N
11-1021.00,General and Operations Managers,Yardi software,Data base user interface and query software,Y,N
11-1021.00,General and Operations Managers,YouTube,Video creation and editing software,N,N
11-1031.00,Legislators,Adobe Acrobat,Document management software,Y,N
11-1031.00,Legislators,Adobe FrameMaker,Desktop publishing software,N,N
11-1031.00,Legislators,Antenna House,Desktop publishing software,N,N
11-1031.00,Legislators,Apple iWork Keynote,Presentation software,N,N
11-1031.00,Legislators,Apple iWork Pages,Word processing software,N,N
11-1031.00,Legislators,Apple Numbers for Mac,Spreadsheet software,N,N
11-1031.00,Legislators,Cisco AnyConnect,Access software,N,N
11-1031.00,Legislators,Cisco Webex,Video conferencing software,Y,N
11-1031.00,Legislators,Corel WordPerfect Office Suite,Office suite software,N,N
11-1031.00,Legislators,GoodReader,Word processing software,N,N
11-1031.00,Legislators,iAnnotate,Word processing software,N,N
11-1031.00,Legislators,IBM Domino,Communications server software,N,N
11-1031.00,Legislators,Legislative Automative Workflow System LAWS,Data base user interface and query software,N,N
11-1031.00,Legislators,LogMeIn GoToMeeting,Video conferencing software,N,N
11-1031.00,Legislators,Mapping software,Map creation software,N,N
11-1031.00,Legislators,Meeting scheduling software,Calendar and scheduling software,N,N
11-1031.00,Legislators,Microsoft Access,Data base user interface and query software,Y,N
11-1031.00,Legislators,Microsoft Excel,Spreadsheet software,Y,N
11-1031.00,Legislators,Microsoft Exchange,Electronic mail software,N,N
11-1031.00,Legislators,Microsoft Office software,Office suite software,Y,N
11-1031.00,Legislators,Microsoft Outlook,Electronic mail software,Y,N
11-1031.00,Legislators,Microsoft SharePoint,Document management software,Y,N
11-1031.00,Legislators,Microsoft SQL Server,Data base user interface and query software,Y,N
11-1031.00,Legislators,Microsoft Visual Basic,Development environment software,Y,N
11-1031.00,Legislators,Microsoft Word,Word processing software,Y,N
11-1031.00,Legislators,Penultimate,Word processing software,N,N
11-1031.00,Legislators,PTC Arbortext,Desktop publishing software,N,N
11-1031.00,Legislators,Rocket/Folio NXT,Desktop publishing software,N,N
11-1031.00,Legislators,Structured query language SQL,Data base user interface and query software,Y,N
11-1031.00,Legislators,Web browser software,Internet browser software,N,N
11-1031.00,Legislators,Windows Media Player,Music or sound editing software,N,N
11-1031.00,Legislators,XMetaL Author,Word processing software,N,N
11-2011.00,Advertising and Promotions Managers,Actuate BIRT,Business intelligence and data analysis software,N,N
11-2011.00,Advertising and Promotions Managers,Adobe Acrobat,Document management software,Y,N
11-2011.00,Advertising and Promotions Managers,Adobe Acrobat Reader,Document management software,N,N
11-2011.00,Advertising and Promotions Managers,Adobe After Effects,Video creation and editing software,Y,N
11-2011.00,Advertising and Promotions Managers,Adobe Creative Cloud software,Graphics or photo imaging software,Y,N
11-2011.00,Advertising and Promotions Managers,Adobe Dreamweaver,Web page creation and editing software,N,N
11-2011.00,Advertising and Promotions Managers,Adobe Experience Manager (AEM),Web page creation and editing software,N,N
11-2011.00,Advertising and Promotions Managers,Adobe Illustrator,Graphics or photo imaging software,Y,N
11-2011.00,Advertising and Promotions Managers,Adobe InDesign,Desktop publishing software,Y,N
11-2011.00,Advertising and Promotions Managers,Adobe PageMaker,Desktop publishing software,N,N
11-2011.00,Advertising and Promotions Managers,Adobe Photoshop,Graphics or photo imaging software,Y,N
11-2011.00,Advertising and Promotions Managers,Adobe Premiere Pro,Video creation and editing software,N,N
11-2011.00,Advertising and Promotions Managers,AdRelevance,Data base reporting software,N,N
11-2011.00,Advertising and Promotions Managers,Apple Final Cut Pro,Video creation and editing software,N,N
11-2011.00,Advertising and Promotions Managers,Apple iMovie,Video creation and editing software,N,N
11-2011.00,Advertising and Promotions Managers,Avid Media Composer,Video creation and editing software,N,N
11-2011.00,Advertising and Promotions Managers,Brainworks,Enterprise resource planning ERP software,N,N
11-2011.00,Advertising and Promotions Managers,Business analysis software,Analytical or scientific software,N,N
11-2011.00,Advertising and Promotions Managers,Constant Contact,Customer relationship management CRM software,N,N
11-2011.00,Advertising and Promotions Managers,Data visualization software,Analytical or scientific software,N,N
11-2011.00,Advertising and Promotions Managers,Data warehousing software,Document management software,N,N
11-2011.00,Advertising and Promotions Managers,Database software,Data base user interface and query software,N,N
11-2011.00,Advertising and Promotions Managers,Drupal,Web platform development software,N,N
11-2011.00,Advertising and Promotions Managers,Email software,Electronic mail software,N,N
11-2011.00,Advertising and Promotions Managers,Experience in Software Webplanner,Project management software,N,N
11-2011.00,Advertising and Promotions Managers,Extensible markup language XML,Enterprise application integration software,Y,N
11-2011.00,Advertising and Promotions Managers,Facebook,Web page creation and editing software,Y,N
11-2011.00,Advertising and Promotions Managers,Google Ads,Sales and marketing software,N,N
11-2011.00,Advertising and Promotions Managers,Google Analytics,Analytical or scientific software,Y,N
11-2011.00,Advertising and Promotions Managers,Google DoubleClick,Business intelligence and data analysis software,N,N
11-2011.00,Advertising and Promotions Managers,Hootsuite,Enterprise application integration software,N,N
11-2011.00,Advertising and Promotions Managers,HubSpot software,Sales and marketing software,Y,N
11-2011.00,Advertising and Promotions Managers,Hypertext markup language HTML,Web platform development software,Y,N
11-2011.00,Advertising and Promotions Managers,IBM Lotus Notes,Electronic mail software,N,N
11-2011.00,Advertising and Promotions Managers,Instagram,Web page creation and editing software,N,N
11-2011.00,Advertising and Promotions Managers,Inventory tracking software,Inventory management software,N,N
11-2011.00,Advertising and Promotions Managers,JavaScript,Web platform development software,Y,N
11-2011.00,Advertising and Promotions Managers,LinkedIn,Web page creation and editing software,N,N
11-2011.00,Advertising and Promotions Managers,MailChimp,Electronic mail software,N,N
11-2011.00,Advertising and Promotions Managers,Marketo Marketing Automation,Sales and marketing software,Y,N
11-2011.00,Advertising and Promotions Managers,MarketSharp,Customer relationship management CRM software,N,N
11-2011.00,Advertising and Promotions Managers,Microsoft Access,Data base user interface and query software,Y,N
11-2011.00,Advertising and Promotions Managers,Microsoft Dynamics,Enterprise resource planning ERP software,N,N
11-2011.00,Advertising and Promotions Managers,Microsoft Dynamics Marketing,Data base user interface and query software,N,N
11-2011.00,Advertising and Promotions Managers,Microsoft Excel,Spreadsheet software,Y,Y
11-2011.00,Advertising and Promotions Managers,Microsoft Office software,Office suite software,Y,Y
11-2011.00,Advertising and Promotions Managers,Microsoft Outlook,Electronic mail software,Y,N
11-2011.00,Advertising and Promotions Managers,Microsoft PowerPoint,Presentation software,Y,Y
11-2011.00,Advertising and Promotions Managers,Microsoft Project,Project management software,Y,N
11-2011.00,Advertising and Promotions Managers,Microsoft Publisher,Desktop publishing software,N,N
11-2011.00,Advertising and Promotions Managers,Microsoft SharePoint,Document management software,Y,N
11-2011.00,Advertising and Promotions Managers,Microsoft SQL Server,Data base management system software,Y,N
11-2011.00,Advertising and Promotions Managers,Microsoft Windows,Operating system software,Y,N
11-2011.00,Advertising and Promotions Managers,Microsoft Word,Word processing software,Y,N
11-2011.00,Advertising and Promotions Managers,Oracle Eloqua,Customer relationship management CRM software,N,N
11-2011.00,Advertising and Promotions Managers,PaloAlto Advertising Plan Pro,Data base user interface and query software,N,N
11-2011.00,Advertising and Promotions Managers,Pinterest,Information retrieval or search software,N,N
11-2011.00,Advertising and Promotions Managers,Quark enterprise publishing software,Desktop publishing software,N,N
11-2011.00,Advertising and Promotions Managers,Relex Weibull,Analytical or scientific software,N,N
11-2011.00,Advertising and Promotions Managers,Salesforce software,Customer relationship management CRM software,Y,N
11-2011.00,Advertising and Promotions Managers,SAP software,Enterprise resource planning ERP software,Y,N
11-2011.00,Advertising and Promotions Managers,Scheduling software,Calendar and scheduling software,N,N
11-2011.00,Advertising and Promotions Managers,Social media software,Web page creation and editing software,N,N
11-2011.00,Advertising and Promotions Managers,Structure query language SQL,Data base user interface and query software,N,N
11-2011.00,Advertising and Promotions Managers,Tableau,Business intelligence and data analysis software,Y,N
11-2011.00,Advertising and Promotions Managers,Twitter,Instant messaging software,N,N
11-2011.00,Advertising and Promotions Managers,Vimeo,Video creation and editing software,N,N
11-2011.00,Advertising and Promotions Managers,Web browser software,Internet browser software,N,N
11-2011.00,Advertising and Promotions Managers,WebTrends Analytics,Analytical or scientific software,N,N
11-2011.00,Advertising and Promotions Managers,Webtrends software,Sales and marketing software,N,N
11-2011.00,Advertising and Promotions Managers,WordPress,Web page creation and editing software,Y,N
11-2011.00,Advertising and Promotions Managers,YouTube,Video creation and editing software,N,N
11-2021.00,Marketing Managers,Adobe Acrobat,Document management software,Y,N
11-2021.00,Marketing Managers,Adobe Acrobat Reader,Document management software,N,N
11-2021.00,Marketing Managers,Adobe ActionScript,Development environment software,N,N
11-2021.00,Marketing Managers,Adobe After Effects,Video creation and editing software,Y,N
11-2021.00,Marketing Managers,Adobe Creative Cloud software,Graphics or photo imaging software,Y,N
11-2021.00,Marketing Managers,Adobe Dreamweaver,Web page creation and editing software,N,N
11-2021.00,Marketing Managers,Adobe Illustrator,Graphics or photo imaging software,Y,N
11-2021.00,Marketing Managers,Adobe InDesign,Desktop publishing software,Y,N
11-2021.00,Marketing Managers,Adobe Photoshop,Graphics or photo imaging software,Y,N
11-2021.00,Marketing Managers,AdSense Tracker,Data base user interface and query software,N,N
11-2021.00,Marketing Managers,AEC Software FastTrack Schedule,Data base user interface and query software,N,N
11-2021.00,Marketing Managers,Airtable,Data base user interface and query software,N,N
11-2021.00,Marketing Managers,Amazon Redshift,Data base user interface and query software,Y,N
11-2021.00,Marketing Managers,Amazon Web Services AWS software,Data base user interface and query software,Y,N
11-2021.00,Marketing Managers,Apache Cassandra,Data base management system software,Y,N
11-2021.00,Marketing Managers,Apache Hadoop,Data base management system software,Y,N
11-2021.00,Marketing Managers,Apache Hive,Data base management system software,Y,N
11-2021.00,Marketing Managers,Apache Pig,Data base management system software,N,N
11-2021.00,Marketing Managers,Apache Solr,Data base management system software,N,N
11-2021.00,Marketing Managers,Apple Final Cut Pro,Video creation and editing software,N,N
11-2021.00,Marketing Managers,Apple Keynote,Presentation software,N,N
11-2021.00,Marketing Managers,Apple macOS,Operating system software,Y,N
11-2021.00,Marketing Managers,Armand Morin MultiTrack Generator,Transaction server software,N,N
11-2021.00,Marketing Managers,Asana,Cloud-based data access and sharing software,Y,N
11-2021.00,Marketing Managers,Atlassian Confluence,Project management software,Y,N
11-2021.00,Marketing Managers,Atlassian JIRA,Content workflow software,Y,Y
11-2021.00,Marketing Managers,Blackbaud The Raiser's Edge,Customer relationship management CRM software,N,N
11-2021.00,Marketing Managers,C,Development environment software,Y,N
11-2021.00,Marketing Managers,Canva,Graphics or photo imaging software,Y,N
11-2021.00,Marketing Managers,Cascading style sheets CSS,Web platform development software,Y,N
11-2021.00,Marketing Managers,Citrix cloud computing software,Access software,N,N
11-2021.00,Marketing Managers,ClearEDGE,Data base user interface and query software,N,N
11-2021.00,Marketing Managers,Constant Contact,Customer relationship management CRM software,N,N
11-2021.00,Marketing Managers,Database reporting software,Data base reporting software,N,N
11-2021.00,Marketing Managers,Database software,Data base user interface and query software,N,N
11-2021.00,Marketing Managers,Databox,Data base user interface and query software,N,N
11-2021.00,Marketing Managers,Delphi Technology,Financial analysis software,N,N
11-2021.00,Marketing Managers,Dropbox,Cloud-based data access and sharing software,N,N
11-2021.00,Marketing Managers,Drupal,Web platform development software,N,N
11-2021.00,Marketing Managers,Dynamic hypertext markup language DHTML,Web platform development software,N,N
11-2021.00,Marketing Managers,Eko,Desktop communications software,N,N
11-2021.00,Marketing Managers,Elasticsearch,Data base management system software,Y,N
11-2021.00,Marketing Managers,Evernote,Word processing software,N,N
11-2021.00,Marketing Managers,Extensible hypertext markup language XHTML,Web platform development software,N,N
